DateTime,CT,SRAD,TMAX,TMIN,TDEW,RELH,WSPD,P_Mesonet,WDIR,WMAX,PRES,TAIR,Irrigation,P_Mesonet,IP
7/29/2020 0:00,297.65,0,298.15,298.15,297.05,92,7,0,133,10,28.5,298.15,0,0,0
7/29/2020 0:15,297.55,0,298.15,298.15,296.45,92,8,0,135,10,28.5,298.15,0,0,0
7/29/2020 0:30,297.75,0,298.15,298.15,296.45,92,7,0,145,10,28.5,298.15,0,0,0
7/29/2020 0:45,297.85,0,298.15,298.15,296.45,92,7,0,147,10,28.5,298.15,0,0,0
7/29/2020 1:00,297.65,0,298.15,298.15,296.45,92,6,0,142,9,28.5,298.15,0,0,0
7/29/2020 1:15,297.45,0,297.55,297.55,296.45,93,6,0,146,8,28.5,297.55,0,0,0
7/29/2020 1:30,297.25,0,297.55,297.55,296.45,92,3,0,122,6,28.5,297.55,0,0,0
7/29/2020 1:45,297.25,0,297.55,297.55,296.45,92,7,0,29,11,28.5,297.55,0,0,0
7/29/2020 2:00,297.45,0,298.15,297.55,296.45,91,10,1.3,107,14,28.5,297.55,0,1.3,1.3
7/29/2020 2:15,297.45,0,297.55,297.55,296.45,93,11,0,121,15,28.4,297.55,0,0,0
7/29/2020 2:30,297.35,0,297.55,297.05,295.95,93,11,0,126,16,28.4,297.55,0,0,0
7/29/2020 2:45,297.35,0,297.05,297.05,295.95,93,11,0,136,15,28.4,297.05,0,0,0
7/29/2020 3:00,297.35,0,297.05,297.05,295.95,94,9,0,105,13,28.4,297.05,0,0,0
7/29/2020 3:15,297.05,0,297.05,297.05,295.95,94,9,0,54,12,28.5,297.05,0,0,0
7/29/2020 3:30,296.95,0,297.05,297.05,295.95,92,12,0,47,15,28.5,297.05,0,0,0
7/29/2020 3:45,296.85,0,297.05,297.05,295.35,89,10,0,65,13,28.5,297.05,0,0,0
7/29/2020 4:00,296.75,0,297.05,297.05,295.35,89,10,0,87,13,28.5,297.05,0,0,0
7/29/2020 4:15,296.75,0,297.05,296.45,295.35,91,11,0,95,13,28.5,297.05,0,0,0
7/29/2020 4:30,296.75,0,297.05,297.05,295.35,92,10,0,112,14,28.5,297.05,0,0,0
7/29/2020 4:45,296.55,0,297.05,297.05,295.35,91,11,0,121,15,28.4,297.05,0,0,0
7/29/2020 5:00,296.45,0,297.05,297.05,295.35,90,9,0,124,13,28.5,297.05,0,0,0
7/29/2020 5:15,296.35,0,297.05,297.05,295.35,90,9,0,127,13,28.5,297.05,0,0,0
7/29/2020 5:30,296.25,0,297.05,296.45,294.85,90,7,0,129,10,28.5,297.05,0,0,0
7/29/2020 5:45,296.25,1,296.45,296.45,295.35,92,6,0,141,9,28.5,296.45,0,0,0
7/29/2020 6:00,296.35,4,296.45,296.45,295.35,92,6,0,149,9,28.5,296.45,0,0,0
7/29/2020 6:15,296.35,8,296.45,296.45,295.35,92,6,0,140,10,28.5,296.45,0,0,0
7/29/2020 6:30,296.35,29,296.45,296.45,295.35,93,7,0,136,10,28.5,296.45,0,0,0
7/29/2020 6:45,296.35,48,297.05,297.05,295.95,93,7,0,136,11,28.5,297.05,0,0,0
7/29/2020 7:00,296.25,74,297.05,297.05,295.95,93,9,0,135,14,28.5,297.05,0,0,0
7/29/2020 7:15,296.35,135,297.55,297.05,296.45,93,13,0,143,19,28.5,297.55,0,0,0
7/29/2020 7:30,296.35,273,298.15,297.55,296.45,91,16,0,149,24,28.5,298.15,0,0,0
7/29/2020 7:45,296.55,293,298.75,298.15,296.45,90,17,0,150,24,28.5,298.15,0,0,0
7/29/2020 8:00,296.75,294,298.75,298.15,296.45,90,16,0,149,22,28.5,298.15,0,0,0
7/29/2020 8:15,297.05,356,298.75,298.15,297.05,90,15,0,153,23,28.5,298.75,0,0,0
7/29/2020 8:30,297.55,363,298.75,298.75,296.45,88,15,0,158,22,28.5,298.75,0,0,0
7/29/2020 8:45,298.45,480,299.25,299.25,297.05,87,16,0,167,20,28.5,299.25,0,0,0
7/29/2020 9:00,298.75,498,299.25,299.25,297.05,86,15,0,170,20,28.5,299.25,0,0,0
7/29/2020 9:15,298.65,599,300.35,299.85,297.05,84,12,0,170,16,28.5,299.85,0,0,0
7/29/2020 9:30,299.35,651,300.95,300.35,297.05,81,11,0,176,17,28.5,300.35,0,0,0
7/29/2020 9:45,299.25,693,301.45,300.95,297.05,79,11,0,185,15,28.5,300.95,0,0,0
7/29/2020 10:00,299.65,738,302.05,301.45,297.05,77,10,0,194,14,28.5,301.45,0,0,0
7/29/2020 10:15,300.05,775,302.55,302.05,297.05,75,10,0,203,14,28.5,302.05,0,0,0
7/29/2020 10:30,300.45,816,302.55,302.55,297.05,72,10,0,203,15,28.5,302.55,0,0,0
7/29/2020 10:45,301.05,869,303.75,303.15,297.05,70,11,0,207,16,28.5,303.75,0,0,0
7/29/2020 11:00,301.55,808,303.75,303.75,297.05,67,12,0,203,17,28.5,303.75,0,0,0
7/29/2020 11:15,301.85,518,304.25,303.75,297.05,67,10,0,203,16,28.5,303.75,0,0,0
7/29/2020 11:30,302.45,937,305.95,304.85,296.45,60,10,0,224,18,28.5,305.35,0,0,0
7/29/2020 11:45,302.75,893,305.95,305.35,295.95,57,13,0,216,19,28.4,305.95,0,0,0
7/29/2020 12:00,303.05,946,305.95,305.95,296.45,58,14,0,205,21,28.4,305.95,0,0,0
7/29/2020 12:15,303.35,843,306.45,305.95,296.45,58,12,0,207,18,28.4,305.95,0,0,0
7/29/2020 12:30,302.75,907,306.45,306.45,296.45,56,13,0,199,21,28.4,306.45,0,0,0
7/29/2020 12:45,304.05,787,307.05,305.95,295.95,55,11,0,203,20,28.4,306.45,0,0,0
7/29/2020 13:00,304.15,837,307.05,305.95,295.95,54,12,0,218,18,28.4,306.45,0,0,0
