DateTime,CT,SRAD,TMAX,TMIN,TDEW,RELH,WSPD,P_Mesonet,WDIR,WMAX,PRES,TAIR,Irrigation,P_Mesonet,IP
7/28/2020 17:15,301.65,255,302.55,302.55,295.95,67,10,0,154,14,28.4,302.55,0,0,0
7/28/2020 17:30,301.25,222,302.55,302.55,295.95,66,10,0,161,14,28.4,302.55,0,0,0
7/28/2020 17:45,301.35,284,303.15,302.55,295.95,65,10,0,163,14,28.4,303.15,0,0,0
7/28/2020 18:00,301.45,111,303.15,302.55,295.35,64,11,0,167,15,28.4,302.55,0,0,0
7/28/2020 18:15,301.65,78,302.55,302.55,294.85,64,9,0,162,13,28.4,302.55,0,0,0
7/28/2020 18:30,301.75,76,302.55,302.05,295.95,68,8,0,163,12,28.4,302.05,0,0,0
7/28/2020 18:45,301.85,79,302.05,302.05,295.35,67,9,0,158,12,28.4,302.05,0,0,0
7/28/2020 19:00,302.35,61,302.05,301.45,295.35,69,8,0,154,11,28.4,302.05,0,0,0
7/28/2020 19:15,301.25,28,301.45,301.45,294.85,68,9,0,154,11,28.4,301.45,0,0,0
7/28/2020 19:30,301.05,8,301.45,300.95,294.85,69,7,0,156,10,28.4,300.95,0,0,0
7/28/2020 19:45,300.85,1,300.95,300.95,295.35,72,7,0,158,10,28.4,300.95,0,0,0
7/28/2020 20:00,300.85,0,300.95,300.95,295.35,74,8,0,161,11,28.4,300.95,0,0,0
7/28/2020 20:15,300.35,0,300.95,300.95,295.35,74,9,0,161,13,28.4,300.95,0,0,0
7/28/2020 20:30,299.85,0,300.35,299.85,295.95,77,7,0,152,10,28.4,300.35,0,0,0
7/28/2020 20:45,299.05,0,299.85,299.85,295.95,80,7,0,128,10,28.5,299.85,0,0,0
7/28/2020 21:00,298.85,0,299.85,299.85,296.45,83,7,0,134,10,28.5,299.85,0,0,0
7/28/2020 21:15,298.85,0,299.85,299.85,297.05,85,8,0,130,12,28.5,299.85,0,0,0
7/28/2020 21:30,299.05,0,299.25,299.25,297.05,88,8,0,117,11,28.5,299.25,0,0,0
7/28/2020 21:45,298.55,0,299.25,298.75,297.05,89,8,0,108,11,28.5,299.25,0,0,0
7/28/2020 22:00,298.15,0,298.75,298.75,297.05,90,8,0,108,10,28.5,298.75,0,0,0
7/28/2020 22:15,298.35,0,298.75,298.75,297.05,90,9,0,112,12,28.5,298.75,0,0,0
7/28/2020 22:30,298.55,0,298.75,298.75,297.05,91,10,0,120,14,28.5,298.75,0,0,0
7/28/2020 22:45,298.15,0,298.75,298.75,297.05,90,11,0,125,15,28.5,298.75,0,0,0
7/28/2020 23:00,297.95,0,298.75,298.75,297.05,90,9,0,124,13,28.5,298.75,0,0,0
7/28/2020 23:15,297.95,0,298.75,298.75,297.05,91,9,0,131,12,28.5,298.75,0,0,0
7/28/2020 23:30,297.95,0,298.75,298.75,297.05,91,9,0,134,12,28.5,298.75,0,0,0
7/28/2020 23:45,297.85,0,298.15,298.15,297.05,92,8,0,137,11,28.5,298.15,0,0,0
7/29/2020 0:00,297.65,0,298.15,298.15,297.05,92,7,0,133,10,28.5,298.15,0,0,0
7/29/2020 0:15,297.55,0,298.15,298.15,296.45,92,8,0,135,10,28.5,298.15,0,0,0
